channel_id,handle,subscribers,youtube_channel_url,youtube_channel_videos_url
UCCMeCQ4wtdwQuoH7TNThL1A,@AlanChikinChow,68700000,https://www.youtube.com/@AlanChikinChow,https://www.youtube.com/@AlanChikinChow/videos
UCrnQFuUabBHaw-BRhPo8xEA,@zamzamelectronicstradingllc,68600000,https://www.youtube.com/@zamzamelectronicstradingllc,https://www.youtube.com/@zamzamelectronicstradingllc/videos
UCaBTm46K3l59CIty88Q_jog,@toysandcolors,67500000,https://www.youtube.com/@toysandcolors,https://www.youtube.com/@toysandcolors/videos
UCU_AsfgtKjwR4qaSwgsWn-w,@infobellshindirhymes,66400000,https://www.youtube.com/@infobellshindirhymes,https://www.youtube.com/@infobellshindirhymes/videos
UCE0Wkd9Jcn2-TNo5G8bLQrA,@MOVIECLIPS,62700000,https://www.youtube.com/@MOVIECLIPS,https://www.youtube.com/@MOVIECLIPS/videos
client,@yrf,62700000,https://www.youtube.com/@yrf,https://www.youtube.com/@yrf/videos
UC62pPLZqx8JIrtW1kT5NPWA,@HarPalGeoOfficial,62500000,https://www.youtube.com/@HarPalGeoOfficial,https://www.youtube.com/@HarPalGeoOfficial/videos
UCL5nlHWXVLeOsSjKH2fhmsg,@KLBROBijuRithvik1,61800000,https://www.youtube.com/@KLBROBijuRithvik1,https://www.youtube.com/@KLBROBijuRithvik1/videos
client,@TaylorSwift,60300000,https://www.youtube.com/@TaylorSwift,https://www.youtube.com/@TaylorSwift/videos
UC6ApcZBKUPwuL4QcGeWaTZw,@ARYDigitalasia,59600000,https://www.youtube.com/@ARYDigitalasia,https://www.youtube.com/@ARYDigitalasia/videos
UC5WwPdvAHvdS1ZK_v6AE90A,@LooLooKids,59200000,https://www.youtube.com/@LooLooKids,https://www.youtube.com/@LooLooKids/videos
UCoQm-PeHC-cbJclKJYJ8LzA,@fedevigevani,59200000,https://www.youtube.com/@fedevigevani,https://www.youtube.com/@fedevigevani/videos
UChcKNyCgqM44l08XWTGQ4XQ,@BillionSurpriseToys,57600000,https://www.youtube.com/@BillionSurpriseToys,https://www.youtube.com/@BillionSurpriseToys/videos
UCDpenlfHFtjdGpqi8slPybg,@marshmello,57500000,https://www.youtube.com/@marshmello,https://www.youtube.com/@marshmello/videos
UCQ8TuCvcDMepleXFyOQfyOQ,@YOLOAVENTURAS,56000000,https://www.youtube.com/@YOLOAVENTURAS,https://www.youtube.com/@YOLOAVENTURAS/videos
UCJbJuOSf-ec7jsPzvQBVC3w,@PANDABOI,55700000,https://www.youtube.com/@PANDABOI,https://www.youtube.com/@PANDABOI/videos
