Youtube_Channel_URL,validated_url,is_valid,channel_id,handle,subscribers,error
https://www.youtube.com/channel/UCxkZgfTw8JGurvBY3_EF5GA,https://www.youtube.com/channel/UCxkZgfTw8JGurvBY3_EF5GA,True,UCxkZgfTw8JGurvBY3_EF5GA?cbrd%3D1&amp;gae=cb-,,0,
https://www.youtube.com/channel/UCxk_B5pr8udvMasdvtPB4Vw,https://www.youtube.com/channel/UCxk_B5pr8udvMasdvtPB4Vw,True,UCxk_B5pr8udvMasdvtPB4Vw?cbrd%3D1&amp;gae=cb-,,0,
https://www.youtube.com/channel/UCxkbb8f0TaYOhQ_dIWMSd-g,https://www.youtube.com/channel/UCxkbb8f0TaYOhQ_dIWMSd-g,True,UCxkbb8f0TaYOhQ_dIWMSd-g?cbrd%3D1&amp;gae=cb-,,0,
https://www.youtube.com/channel/UCxkcuXVPHybpM7k0HVT704g,https://www.youtube.com/channel/UCxkcuXVPHybpM7k0HVT704g,True,UCxkcuXVPHybpM7k0HVT704g?cbrd%3D1&amp;gae=cb-,,0,
https://www.youtube.com/channel/UCxke7euYroZyND5vgo0Xlwg,https://www.youtube.com/channel/UCxke7euYroZyND5vgo0Xlwg,True,UCxke7euYroZyND5vgo0Xlwg?cbrd%3D1&amp;gae=cb-,,0,
https://www.youtube.com/channel/UCxkesB9QHpNE4pxAHN9GEKQ,https://www.youtube.com/channel/UCxkesB9QHpNE4pxAHN9GEKQ,True,UCxkesB9QHpNE4pxAHN9GEKQ?cbrd%3D1&amp;gae=cb-,,0,
https://www.youtube.com/channel/UCxkfttLHn9EpD4YfXjNGhzA,https://www.youtube.com/channel/UCxkfttLHn9EpD4YfXjNGhzA,True,UCxkfttLHn9EpD4YfXjNGhzA?cbrd%3D1&amp;gae=cb-,,0,
https://www.youtube.com/channel/UCxkgBUvoKe8C1sMBAWsP0Ng,https://www.youtube.com/channel/UCxkgBUvoKe8C1sMBAWsP0Ng,True,UCxkgBUvoKe8C1sMBAWsP0Ng?cbrd%3D1&amp;gae=cb-,,0,
https://www.youtube.com/channel/UCxkjgt_ePhbOoCRPr0szT8Q,https://www.youtube.com/channel/UCxkjgt_ePhbOoCRPr0szT8Q,True,UCxkjgt_ePhbOoCRPr0szT8Q?cbrd%3D1&amp;gae=cb-,,0,
https://www.youtube.com/channel/UCxkp7dPlq23HemKJn9YJ8XQ,https://www.youtube.com/channel/UCxkp7dPlq23HemKJn9YJ8XQ,True,UCxkp7dPlq23HemKJn9YJ8XQ?cbrd%3D1&amp;gae=cb-,,0,
