Rank,Channel_Handle,Channel_ID,Subscribers,YouTube_Channel_URL
49,UCRx3mKNUdl8QE06nEug7p6Q,UCRx3mKNUdl8QE06nEug7p6Q,57600000,https://www.youtube.com/channel/UCRx3mKNUdl8QE06nEug7p6Q
50,UCEdvpU2pFRCVqU6yIPyTpMQ,UCEdvpU2pFRCVqU6yIPyTpMQ,57500000,https://www.youtube.com/channel/UCEdvpU2pFRCVqU6yIPyTpMQ
51,shemarooent,shemarooent,56100000,https://www.youtube.com/@shemarooent
52,UCOnIJiQuk1fDSp6p1GCZy3A,UCOnIJiQuk1fDSp6p1GCZy3A,55900000,https://www.youtube.com/channel/UCOnIJiQuk1fDSp6p1GCZy3A
53,UC0Wju2yvRlfwqraLlz5152Q,UC0Wju2yvRlfwqraLlz5152Q,55700000,https://www.youtube.com/channel/UC0Wju2yvRlfwqraLlz5152Q
54,edsheeran,edsheeran,55500000,https://www.youtube.com/@edsheeran
55,osnapitzari,osnapitzari,54900000,https://www.youtube.com/@osnapitzari
56,UCiGm_E4ZwYSHV3bcW1pnSeQ,UCiGm_E4ZwYSHV3bcW1pnSeQ,53700000,https://www.youtube.com/channel/UCiGm_E4ZwYSHV3bcW1pnSeQ
57,UCMgapddJymOC6MBOiOqia1A,UCMgapddJymOC6MBOiOqia1A,53600000,https://www.youtube.com/channel/UCMgapddJymOC6MBOiOqia1A
58,getmovies,getmovies,53300000,https://www.youtube.com/@getmovies
59,UCqJ5zFEED1hWs0KNQCQuYdQ,UCqJ5zFEED1hWs0KNQCQuYdQ,53100000,https://www.youtube.com/channel/UCqJ5zFEED1hWs0KNQCQuYdQ
60,sonymusicindiavevo,sonymusicindiavevo,52900000,https://www.youtube.com/@sonymusicindiavevo
61,AlejoIgoa,AlejoIgoa,52600000,https://www.youtube.com/@AlejoIgoa
62,vh1at6xpV1ytYOAzxmqUsA,vh1at6xpV1ytYOAzxmqUsA,52400000,https://www.youtube.com/@vh1at6xpV1ytYOAzxmqUsA
63,mashamedvedtv,mashamedvedtv,52000000,https://www.youtube.com/@mashamedvedtv
64,juegagerman,juegagerman,51600000,https://www.youtube.com/@juegagerman
65,abscbnonline,abscbnonline,50500000,https://www.youtube.com/@abscbnonline
66,UCJg19noZp7-BYIGvypu_cow,UCJg19noZp7-BYIGvypu_cow,50200000,https://www.youtube.com/channel/UCJg19noZp7-BYIGvypu_cow
67,starplus,starplus,49800000,https://www.youtube.com/@starplus
68,MashaBearEN,MashaBearEN,49800000,https://www.youtube.com/@MashaBearEN
69,UC6gVx_vALsYT-z_u1djJbBQ,UC6gVx_vALsYT-z_u1djJbBQ,49800000,https://www.youtube.com/channel/UC6gVx_vALsYT-z_u1djJbBQ
70,UC_gV70G_Y51LTa3qhu8KiEA,UC_gV70G_Y51LTa3qhu8KiEA,49700000,https://www.youtube.com/channel/UC_gV70G_Y51LTa3qhu8KiEA
71,songsofindiancinema,songsofindiancinema,49500000,https://www.youtube.com/@songsofindiancinema
72,UCgKEvLp8DXCTMq4QY6wW7bw,UCgKEvLp8DXCTMq4QY6wW7bw,48900000,https://www.youtube.com/channel/UCgKEvLp8DXCTMq4QY6wW7bw
73,UCmBA_wu8xGg1OfOkfW13Q0Q,UCmBA_wu8xGg1OfOkfW13Q0Q,48400000,https://www.youtube.com/channel/UCmBA_wu8xGg1OfOkfW13Q0Q
74,Fernanfloo,Fernanfloo,48100000,https://www.youtube.com/@Fernanfloo
75,UCPuEAY09CtdTzFNWuqVZgDw,UCPuEAY09CtdTzFNWuqVZgDw,48000000,https://www.youtube.com/channel/UCPuEAY09CtdTzFNWuqVZgDw
76,UC4tS4Q_Cno5JVcIUXxQOOpA,UC4tS4Q_Cno5JVcIUXxQOOpA,47700000,https://www.youtube.com/channel/UC4tS4Q_Cno5JVcIUXxQOOpA
77,Badabun,Badabun,47600000,https://www.youtube.com/@Badabun
78,venus,venus,47400000,https://www.youtube.com/@venus
79,shakira,shakira,47300000,https://www.youtube.com/@shakira
80,UCQ7x25F6YXY9DvGeHFxLhRQ,UCQ7x25F6YXY9DvGeHFxLhRQ,47100000,https://www.youtube.com/channel/UCQ7x25F6YXY9DvGeHFxLhRQ
81,felipeneto,felipeneto,46800000,https://www.youtube.com/@felipeneto
82,UC4-79UOlP48-QNGgCko5p2g,UC4-79UOlP48-QNGgCko5p2g,46700000,https://www.youtube.com/channel/UC4-79UOlP48-QNGgCko5p2g
83,UCwHE1kM1CPJd_pI9FQ0-4dg,UCwHE1kM1CPJd_pI9FQ0-4dg,46600000,https://www.youtube.com/channel/UCwHE1kM1CPJd_pI9FQ0-4dg
84,UCo6y9hnRawAqtyWhRhblXqg,UCo6y9hnRawAqtyWhRhblXqg,46500000,https://www.youtube.com/channel/UCo6y9hnRawAqtyWhRhblXqg
85,UC4wEPe5mrHGAUjjTfXH_C-Q,UC4wEPe5mrHGAUjjTfXH_C-Q,46300000,https://www.youtube.com/channel/UC4wEPe5mrHGAUjjTfXH_C-Q
86,abpnewstv,abpnewstv,46100000,https://www.youtube.com/@abpnewstv
87,UCJrOtniJ0-NWz37R30urifQ,UCJrOtniJ0-NWz37R30urifQ,46100000,https://www.youtube.com/channel/UCJrOtniJ0-NWz37R30urifQ
88,UCQZfFRohQ7UX-0CdXl-6pwQ,UCQZfFRohQ7UX-0CdXl-6pwQ,46000000,https://www.youtube.com/channel/UCQZfFRohQ7UX-0CdXl-6pwQ
